Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
COX7A1,V2,Up,0.256619869,4.35E-11,1.59E-06,2.70E-09,22.2,18.2
RPL36,V2,Up,0.255620908,8.07E-10,2.95E-05,3.97E-08,53.1,50.4
ANXA3,V2,Up,0.253506639,1.08E-18,3.97E-14,1.81E-16,55.1,49.1
CSNK1E,V2,Up,0.252270053,2.32E-06,0.085059403,4.57E-05,31.6,27.4
SMTN,V2,Up,0.251972325,0.000182324,1,0.001737407,19.8,14.7
CSTB,V2,Up,0.251924745,1.23E-05,0.448718793,0.000186904,33.4,28.4
PTPN14,V2,Up,0.251653802,1.78E-05,0.651454923,0.000252818,44.9,42.1
FZD4,V2,Up,0.250351901,0.000208165,1,0.001949022,25.2,20.5
MT-CO2,V2,Up,0.250058924,1.20E-14,4.38E-10,1.25E-12,92.4,90.7
IL32,V2,Up,0.248701021,0.003095282,1,0.017097869,22.1,17.4
DHFR,V2,Up,0.248050137,0.000301703,1,0.002629161,49.7,44.0
EIF4A2,V2,Up,0.247806403,7.49E-08,0.002740577,2.31E-06,44.9,40.8
LDHA,V2,Up,0.247722546,4.33E-16,1.58E-11,5.44E-14,35.3,30.2
ITPRIP,V2,Up,0.247197589,0.010181719,1,0.043335557,15,10.4
PCBP1,V2,Up,0.246888828,0.000233111,1,0.002139348,29.8,24.4
RPS28,V2,Up,0.246139819,1.27E-23,4.64E-19,3.59E-21,72.3,68.5
MT-CYB,V2,Up,0.246082126,3.11E-18,1.14E-13,4.96E-16,86.6,84.3
VCL,V2,Up,0.245758874,2.02E-07,0.007394786,5.56E-06,27.6,25.1
UBL5,V2,Up,0.244709854,2.31E-05,0.845771605,0.000316964,24.4,19.9
PER1,V2,Up,0.243464635,0.011474581,1,0.047586244,20.8,15.7
OMD,V2,Up,0.242808041,9.92E-09,0.000363068,3.71E-07,13.8,10.9
NFIL3,V2,Up,0.242697283,0.010780992,1,0.045299725,13.2,8.7
PTMS,V2,Up,0.241823721,0.000206873,1,0.0019396,37.4,31.2
MTRNR2L8,V2,Up,0.24157636,7.48E-06,0.273658199,0.000123301,18.6,12.8
AC096711.2,V2,Up,0.241100406,3.61E-06,0.132118595,6.65E-05,21.2,17.1
SERF2,V2,Up,0.240906604,1.91E-12,6.99E-08,1.44E-10,53.9,48.3
PRX,V2,Up,0.239467987,0.003904738,1,0.020523535,25.2,19.6
CD46,V2,Up,0.2387019,1.63E-05,0.597862797,0.000234967,61.1,58.5
MT-ND2,V2,Up,0.238666822,9.94E-09,0.00036366,3.71E-07,86.4,83.7
NPIPB5,V2,Up,0.236814826,4.82E-05,1,0.00058628,65,61.5
STAU2,V2,Up,0.236794863,2.88E-06,0.105416748,5.49E-05,60.5,59.7
ZNF800,V2,Up,0.236442762,7.60E-06,0.278242664,0.00012456,39.3,35.4
CLTC,V2,Up,0.236134257,3.96E-06,0.144946686,7.19E-05,45.3,41.5
TMSB4X,V2,Up,0.235736309,1.29E-13,4.73E-09,1.21E-11,70.6,68.2
MCU,V2,Up,0.235307288,1.85E-05,0.678888504,0.000261641,24.6,22.2
BSG,V2,Up,0.235288997,4.90E-50,1.79E-45,7.13E-47,89.8,91.2
KIAA0355,V2,Up,0.232968924,2.61E-06,0.095624789,5.05E-05,50.3,47.1
SPATS2L,V2,Up,0.232712168,0.000844805,1,0.00606113,38.5,37.2
RPS29,V2,Up,0.231931007,8.81E-13,3.22E-08,6.92E-11,45.1,40.0
CRIM1,V2,Up,0.231394775,5.56E-46,2.04E-41,6.30E-43,74.2,72.4
FOXQ1,V2,Up,0.230177756,0.01862928,1,0.069416948,15.7,11.2
HIGD1B,V2,Up,0.230002025,4.03E-05,1,0.000507169,16,12.4
RNF169,V2,Up,0.229325521,0.004709452,1,0.02380773,30,27.4
FNIP1,V2,Up,0.227315478,0.002103186,1,0.012476498,38,35.0
PNRC1,V2,Up,0.227155405,0.000410267,1,0.003371964,27.3,22.5
AKR1C1,V2,Up,0.226123254,1.41E-12,5.16E-08,1.08E-10,16.6,11.4
ST3GAL6,V2,Up,0.225728979,5.67E-14,2.07E-09,5.53E-12,33.4,32.1
RPL9,V2,Up,0.22571593,1.86E-09,6.81E-05,8.39E-08,43.6,40.3
