Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
MAP3K20,EC,Down,-0.183014914,0.003113555,1,0.071649024,35.9,44.7
FKBP5,EC,Down,-0.18349972,0.000536693,1,0.026133784,53.6,60.0
DICER1,EC,Down,-0.183817365,0.000249685,1,0.015963931,34.5,41.0
NAIP,EC,Down,-0.185690018,0.000950923,1,0.036519558,15.4,19.7
FOXN2,EC,Down,-0.18585502,0.002814963,1,0.067880205,15.6,20.1
MTHFD1L,EC,Down,-0.185886999,0.004584019,1,0.088985481,18.1,23.5
KIAA1671,EC,Down,-0.190609994,3.35E-06,0.122482042,0.000772385,19,23.5
PPP1R21,EC,Down,-0.195115505,7.38E-07,0.027021991,0.000246962,14.5,20.1
SLC4A7,EC,Down,-0.195710336,0.000975124,1,0.037262985,30.3,35.7
EML1,EC,Down,-0.197843528,0.001578045,1,0.050238436,20.5,24.9
INVS,EC,Down,-0.197845586,0.003795221,1,0.080993324,24.9,30.6
MAVS,EC,Down,-0.198601021,0.002510971,1,0.063478325,10.7,15.3
ATG10,EC,Down,-0.20079712,0.00501876,1,0.0939481,14.3,21.7
SORT1,EC,Down,-0.202417789,7.59E-10,2.78E-05,7.96E-07,62.4,66.9
SLC1A1,EC,Down,-0.203190655,0.003062649,1,0.070949507,56.9,62.3
AFDN,EC,Down,-0.20372707,2.80E-05,1,0.003774453,65.9,70.5
INPP5F,EC,Down,-0.204298226,0.00078443,1,0.032622387,16.5,22.5
CD99,EC,Down,-0.206212218,0.002469407,1,0.062862425,18.9,24.8
TRAPPC9,EC,Down,-0.207115085,0.001999973,1,0.056849,24.5,30.9
LAMA4,EC,Down,-0.207137914,0.000139139,1,0.011630789,22.2,26.7
ATRN,EC,Down,-0.207140797,0.002033907,1,0.057177727,14.5,21.5
PALMD,EC,Down,-0.209490987,1.23E-05,0.44854586,0.002064657,46.6,55.1
PXN,EC,Down,-0.209883568,4.65E-06,0.170269689,0.001012962,38.3,46.7
NXN,EC,Down,-0.211412985,0.002458052,1,0.062700012,55.7,62.0
LRRFIP1,EC,Down,-0.212693356,0.00017969,1,0.013277705,30,35.5
TBC1D2,EC,Down,-0.212778074,0.000852559,1,0.034583328,10.3,15.7
ABLIM1,EC,Down,-0.215124029,8.19E-05,1,0.008251872,61.3,68.5
GALNT17,EC,Down,-0.217665479,2.95E-11,1.08E-06,7.56E-08,22.5,26.2
ADIRF,EC,Down,-0.218602001,3.66E-08,0.001340912,1.97E-05,24.6,32.5
PHACTR1,EC,Down,-0.219026182,0.000217266,1,0.014749184,45.8,52.9
SH3D19,EC,Down,-0.220227561,0.000666746,1,0.029452168,18.7,25.5
HGSNAT,EC,Down,-0.221797754,0.001597691,1,0.050515502,13.7,20.0
TGM2,EC,Down,-0.22262773,0.003982419,1,0.083033613,66.1,71.7
ULK4,EC,Down,-0.223481596,0.0004061,1,0.022158827,13.4,21.2
INPP4A,EC,Down,-0.227562771,0.002951821,1,0.069450532,13.1,16.3
EDN1,EC,Down,-0.230233872,0.001397808,1,0.046961857,27.6,32.8
ZMIZ1,EC,Down,-0.235474005,0.00015924,1,0.012501397,24,29.9
FAM120B,EC,Down,-0.236576521,8.84E-09,0.000323479,6.58E-06,23.4,32.4
ATP7B,EC,Down,-0.236854678,0.000437987,1,0.023080335,24.8,33.3
TTC7B,EC,Down,-0.237876551,0.000188458,1,0.013601814,18,24.3
DEPP1,EC,Down,-0.239675198,3.04E-06,0.11132825,0.000738998,41.8,48.6
NOVA1,EC,Down,-0.239976275,0.003654391,1,0.079273501,36.9,46.0
DUSP6,EC,Down,-0.244245316,0.000360906,1,0.020268359,24.5,31.9
TRAPPC12,EC,Down,-0.245296536,0.002021576,1,0.057177727,13.5,20.8
VMP1,EC,Down,-0.245310582,0.001685176,1,0.051791669,28,37.3
ITPR2,EC,Down,-0.246899775,0.001617287,1,0.050856393,34.6,44.0
RPS6KA2,EC,Down,-0.246956244,0.004076467,1,0.084233608,55.7,61.8
MTUS1,EC,Down,-0.248635258,0.004666672,1,0.090059751,68.2,74.2
ARL15,EC,Down,-0.254643687,0.001123925,1,0.040842033,65.3,72.7
IMMP2L,EC,Down,-0.25473529,0.000208462,1,0.014289848,46.3,55.5
PPP2R5C,EC,Down,-0.255983398,0.000111586,1,0.010249893,30.6,38.2
CCDC91,EC,Down,-0.259129727,0.003230733,1,0.07325005,21.8,27.4
IL6R,EC,Down,-0.260455314,8.84E-06,0.32354368,0.001632242,12.9,20.6
TNFRSF6B,EC,Down,-0.261436206,3.35E-12,1.23E-07,1.10E-08,28.6,39.4
CNKSR3,EC,Down,-0.262081313,9.33E-08,0.003414024,4.68E-05,32.6,37.6
SSH2,EC,Down,-0.264584363,0.000272524,1,0.01655295,31.4,40.1
ARHGEF7,EC,Down,-0.264802964,0.000417048,1,0.022649135,30.7,36.3
PLOD2,EC,Down,-0.268072933,0.001276399,1,0.044704966,31.8,34.3
SVIL,EC,Down,-0.270539219,0.002376518,1,0.061679179,45.9,52.5
RAB30-DT,EC,Down,-0.273439767,0.002842511,1,0.068030323,14.3,20.3
ST3GAL3,EC,Down,-0.281344817,0.000169991,1,0.01282208,14.6,22.1
ABCD3,EC,Down,-0.281906418,0.000275042,1,0.016662086,26.6,33.1
PRICKLE2,EC,Down,-0.287408148,6.75E-14,2.47E-09,3.67E-10,43.4,49.8
XKR6,EC,Down,-0.289035752,0.001961845,1,0.05625213,23.1,31.3
GPM6B,EC,Down,-0.289194806,0.002235168,1,0.059988283,20.9,29.9
TNS1,EC,Down,-0.290703965,0.000178166,1,0.013222703,47.7,55.2
LINC01693,EC,Down,-0.293992565,4.67E-11,1.71E-06,1.06E-07,10.8,17.6
CNTNAP3B,EC,Down,-0.294775636,5.53E-05,1,0.006322386,42.8,52.2
PDK4,EC,Down,-0.296320375,0.004761924,1,0.091060452,25.6,33.8
PLPP1,EC,Down,-0.29716434,1.49E-05,0.547001144,0.002362637,54.4,59.4
LINC02256,EC,Down,-0.297388287,1.01E-07,0.003682315,4.94E-05,10,17.3
MCC,EC,Down,-0.302071209,0.003488959,1,0.076693973,41.5,48.5
PRKN,EC,Down,-0.302200268,0.004745618,1,0.090974754,24.5,33.1
CHST15,EC,Down,-0.305659927,0.000262992,1,0.016361491,22.9,27.0
ABCC4,EC,Down,-0.306711942,3.06E-08,0.001120729,1.82E-05,23.3,31.5
GPC5,EC,Down,-0.310555067,3.75E-07,0.013722291,0.000144224,30,35.2
MAP1B,EC,Down,-0.310599381,0.00167122,1,0.051547908,22.3,30.9
PAPSS2,EC,Down,-0.313935024,0.000824311,1,0.033675302,50.5,58.5
MYOF,EC,Down,-0.314453984,0.000310168,1,0.01812401,40.2,50.1
ATP10A,EC,Down,-0.315793057,2.03E-06,0.074334263,0.000526697,80.4,84.6
DISC1,EC,Down,-0.316893761,0.000629605,1,0.02860614,28.1,36.6
EVA1C,EC,Down,-0.317072967,0.001827735,1,0.054223591,36.6,46.1
KLHL2,EC,Down,-0.332910376,0.000113355,1,0.010341279,23.7,33.8
FAR2,EC,Down,-0.334072025,0.001785318,1,0.053238927,10.5,17.2
DHRSX,EC,Down,-0.334547357,0.002849063,1,0.068030323,24.6,33.1
GRAMD1A,EC,Down,-0.335437141,0.000129652,1,0.01122159,16.1,26.7
ZBTB16,EC,Down,-0.335984843,2.09E-05,0.763318084,0.003027402,65.3,72.8
ARRDC3,EC,Down,-0.341060214,0.000231488,1,0.015353407,26.2,39.1
DEPTOR,EC,Down,-0.35616292,0.002570886,1,0.064552656,23.4,30.6
WARS,EC,Down,-0.357026723,2.33E-05,0.853176467,0.003300752,24.7,32.8
ANXA2,EC,Down,-0.383124631,4.57E-12,1.67E-07,1.32E-08,27.4,39.7
HIF1A,EC,Down,-0.386403183,0.004455644,1,0.087825809,32.3,43.4
TTC7A,EC,Down,-0.386484521,3.10E-06,0.113341352,0.000744524,16.1,25.1
SMAD6,EC,Down,-0.426570831,1.49E-05,0.545174271,0.002362637,31.5,39.6
NAALADL2,EC,Down,-0.428578192,0.000242907,1,0.015660726,11.6,19.3
PCDH9,EC,Down,-0.435390277,0.001270484,1,0.044636537,47.8,57.7
PDE10A,EC,Down,-0.440792921,3.80E-05,1,0.004800209,53.8,64.5
CCDC3,EC,Down,-0.441244189,0.003485242,1,0.076693973,11.3,17.0
SMAD7,EC,Down,-0.44501568,1.24E-09,4.54E-05,1.10E-06,22.9,36.3
GMDS-DT,EC,Down,-0.448919407,0.001625941,1,0.050989614,23.1,34.9
SULF2,EC,Down,-0.458666414,1.08E-06,0.039652648,0.000324746,25.8,38.2
TMTC1,EC,Down,-0.468418734,0.001438362,1,0.047631031,22.2,28.5
NTRK2,EC,Down,-0.485706944,8.46E-05,1,0.008421156,22.2,37.3
HILPDA,EC,Down,-0.500128962,3.11E-05,1,0.004109826,14.8,25.3
MCTP1,EC,Down,-0.516807916,2.32E-06,0.084756924,0.000568603,31.2,45.8
CP,EC,Down,-0.580755298,6.42E-10,2.35E-05,7.06E-07,38.5,54.7
RFTN1,EC,Down,-0.594279549,1.70E-07,0.006237332,7.71E-05,15.8,27.5
AFF3,EC,Down,-0.608227158,0.000123668,1,0.010936327,28.8,39.7
GRB10,EC,Down,-0.626967327,7.26E-05,1,0.007646559,49.6,60.5
CACNA1C,EC,Down,-0.643210854,0.00132662,1,0.045701073,13.3,23.8
ADAMTS9,EC,Down,-0.867248605,0.002035142,1,0.057177727,43,62.6
DPP10,EC,Down,-1.080949794,0.003356576,1,0.075154141,35.4,59.6
MT1E,ITG,Up,0.934256795,9.66E-58,3.54E-53,1.02E-53,59.4,44.8
MT1M,ITG,Up,0.906522091,3.00E-32,1.10E-27,4.90E-29,50.7,35.0
MT-ND3,ITG,Up,0.880198366,1.87E-35,6.86E-31,5.68E-32,94.6,77.2
MT2A,ITG,Up,0.815746977,3.07E-66,1.12E-61,6.51E-62,89.4,77.7
DUSP1,ITG,Up,0.80132731,3.19E-45,1.17E-40,1.35E-41,72.1,50.5
TMSB10,ITG,Up,0.774000506,0.00022372,1,0.008759343,88.8,78.8
RPS27,ITG,Up,0.748389075,8.53E-05,1,0.004070107,64.5,44.3
RGCC,ITG,Up,0.737437428,0.0006149,1,0.018993887,56.6,36.9
MT-ATP6,ITG,Up,0.713501883,6.12E-18,2.24E-13,3.61E-15,96.2,83.6
ID3,ITG,Up,0.690997319,6.84E-15,2.50E-10,2.85E-12,62.4,48.8
MT1X,ITG,Up,0.654170024,4.57E-52,1.67E-47,3.23E-48,46.7,39.4
TPT1,ITG,Up,0.636032569,1.25E-05,0.455895411,0.000813307,74.8,59.0
SRGN,ITG,Up,0.591351201,2.54E-33,9.29E-29,5.39E-30,76,59.7
APOLD1,ITG,Up,0.575286772,1.25E-34,4.57E-30,3.31E-31,81.2,71.0
RPS28,ITG,Up,0.574379226,6.31E-11,2.31E-06,1.21E-08,71.4,57.9
AKR1C1,ITG,Up,0.572260399,1.88E-11,6.89E-07,3.92E-09,20.2,8.8
TIMP3,ITG,Up,0.570280615,8.41E-05,1,0.004067515,67,48.8
RGS5,ITG,Up,0.563448939,0.00025182,1,0.009698495,56.6,48.1
LINC00472,ITG,Up,0.559509457,3.40E-06,0.1243107,0.000259261,76.7,67.6
MT-CYB,ITG,Up,0.54619063,3.12E-08,0.001141014,3.89E-06,88.8,75.2
KLF6,ITG,Up,0.534383992,0.002169075,1,0.049177281,59.7,45.7
UBC,ITG,Up,0.527855671,7.65E-05,1,0.003777677,75.7,62.9
RPS23,ITG,Up,0.51741993,6.96E-08,0.002547068,7.98E-06,58.8,44.7
FOS,ITG,Up,0.516764728,1.22E-13,4.48E-09,4.26E-11,26.5,16.6
PCAT19,ITG,Up,0.51109275,1.06E-07,0.003881833,1.16E-05,55.7,42.5
KLF2,ITG,Up,0.499629724,0.000452298,1,0.015115313,62.5,46.9
MT-CO2,ITG,Up,0.483434454,0.000194901,1,0.007878069,93.5,86.4
FMNL2,ITG,Up,0.473985331,8.78E-07,0.032129031,7.67E-05,47.7,41.7
MYL12B,ITG,Up,0.472902772,0.000601722,1,0.018723078,48.1,34.0
SLC9A3R2,ITG,Up,0.453543626,1.69E-12,6.18E-08,4.65E-10,57.4,42.2
RPL30,ITG,Up,0.440100323,0.000238581,1,0.009238923,37.9,27.2
TM4SF18,ITG,Up,0.434933617,2.27E-07,0.008323096,2.28E-05,43.3,30.3
AC119673.2,ITG,Up,0.433951309,3.10E-07,0.011332115,3.00E-05,17.3,6.6
MT-ND2,ITG,Up,0.432569338,4.31E-07,0.015778793,4.03E-05,88.1,77.6
RPL38,ITG,Up,0.432274683,0.000596473,1,0.018586997,40.8,28.7
SLC16A1,ITG,Up,0.421176482,6.19E-28,2.27E-23,7.73E-25,70.7,62.6
SPOCK3,ITG,Up,0.41761117,1.11E-12,4.05E-08,3.13E-10,46,35.8
ARRDC2,ITG,Up,0.416374683,0.000306503,1,0.011137506,20.4,9.3
MYL12A,ITG,Up,0.415225654,0.001911158,1,0.045156243,38.1,25.3
RPL37A,ITG,Up,0.410353832,0.002069891,1,0.047384202,58.2,44.7
RPS21,ITG,Up,0.408965197,3.61E-08,0.001319481,4.40E-06,38.6,26.8
MIF,ITG,Up,0.407563968,0.004358829,1,0.079466247,41.7,29.0
TSC22D3,ITG,Up,0.404867279,1.58E-11,5.78E-07,3.32E-09,31.7,19.0
CAVIN2,ITG,Up,0.40176407,0.00096293,1,0.026887298,61.5,48.8
RPS15A,ITG,Up,0.393217597,0.000256034,1,0.009825147,40.8,29.5
RAMP2,ITG,Up,0.391869246,3.75E-06,0.137106367,0.000280895,37.8,27.7
GNG5,ITG,Up,0.391389539,0.000124672,1,0.005511813,33.3,21.8
RHOB,ITG,Up,0.389207055,1.72E-10,6.29E-06,2.99E-08,39.4,28.9
VIM,ITG,Up,0.382866879,0.000321271,1,0.011555396,68.6,60.7
RPL34,ITG,Up,0.382360081,0.00178037,1,0.042933224,44.4,35.0
BTG1,ITG,Up,0.379562554,5.38E-06,0.1967445,0.000385375,41.3,27.7
MT-ND4,ITG,Up,0.377227667,1.25E-06,0.045834165,0.000103001,93.9,86.8
MT-ND1,ITG,Up,0.377044818,8.95E-07,0.032755891,7.77E-05,85.5,72.8
HSPA4L,ITG,Up,0.375318792,0.002612406,1,0.056056224,16.1,8.1
EIF4G2,ITG,Up,0.373134521,0.002308656,1,0.051402949,49,35.6
TINAGL1,ITG,Up,0.371280923,4.91E-08,0.001796918,5.89E-06,31.1,18.1
NEDD4L,ITG,Up,0.370206007,1.34E-05,0.490997345,0.000860051,33.3,24.5
ID1,ITG,Up,0.364219758,1.49E-51,5.44E-47,7.89E-48,55.9,46.8
MAP1LC3B,ITG,Up,0.363009537,8.42E-15,3.08E-10,3.43E-12,23.9,14.2
ICAM2,ITG,Up,0.362339417,0.002217804,1,0.049983607,55,44.0
UBA52,ITG,Up,0.361574022,0.001506597,1,0.038099742,36.8,26.4
TSC22D1,ITG,Up,0.353780115,5.10E-24,1.87E-19,5.70E-21,89.1,87.0
JUND,ITG,Up,0.347372372,0.003017047,1,0.061740366,48.8,36.4
RPS6KA3,ITG,Up,0.346795616,0.005366047,1,0.092259879,57.3,48.1
CREM,ITG,Up,0.345625138,9.36E-33,3.43E-28,1.81E-29,55.2,43.5
RPL19,ITG,Up,0.343795646,0.004548139,1,0.082170728,43.5,33.6
PPIA,ITG,Up,0.336417637,0.004679546,1,0.083589772,35.5,25.2
FAU,ITG,Up,0.334603473,0.001602645,1,0.03982403,39.9,30.0
RPS13,ITG,Up,0.330587317,0.000803272,1,0.023319052,33.8,24.4
OMD,ITG,Up,0.330056721,0.001003609,1,0.027729056,15.1,8.8
HERPUD1,ITG,Up,0.329595689,0.000225734,1,0.008821925,65.2,54.5
RPL18A,ITG,Up,0.326614781,0.005748756,1,0.096445261,37.9,27.3
GNAS,ITG,Up,0.326135584,0.002703773,1,0.057205148,75.5,65.9
COX7A1,ITG,Up,0.323371978,0.000581298,1,0.018284066,22.4,13.6
S1PR1,ITG,Up,0.320489969,0.004918894,1,0.086804417,53.3,43.5
FOXF1,ITG,Up,0.319595885,1.87E-06,0.068286246,0.000147731,24.6,15.5
IFI6,ITG,Up,0.31741642,0.002279992,1,0.050885184,30.3,21.2
SOD2,ITG,Up,0.317075122,1.41E-07,0.005161613,1.50E-05,43.5,37.5
HIGD1B,ITG,Up,0.315840958,0.004453639,1,0.080916673,14.7,8.0
POLR2L,ITG,Up,0.315796846,0.000912885,1,0.025726872,21.7,13.5
CALCOCO2,ITG,Up,0.314260993,8.77E-06,0.320999585,0.000598435,37.8,27.7
TM4SF1,ITG,Up,0.313581217,5.09E-19,1.86E-14,3.38E-16,53.2,45.5
BSG,ITG,Up,0.312714449,2.40E-17,8.80E-13,1.31E-14,92.4,89.3
CRIP2,ITG,Up,0.312281241,7.88E-06,0.288526956,0.000541378,58,46.8
RIMKLB,ITG,Up,0.312190543,2.61E-16,9.56E-12,1.26E-13,58.2,51.4
WNT2B,ITG,Up,0.308861944,4.64E-10,1.70E-05,7.69E-08,27.4,20.3
STAU2,ITG,Up,0.30764374,1.44E-05,0.525512289,0.00091224,63.3,62.9
DYNLRB1,ITG,Up,0.303424696,0.001784285,1,0.042971034,21.1,12.8
ANXA3,ITG,Up,0.301028233,9.53E-18,3.49E-13,5.32E-15,59,46.0
ARL5B,ITG,Up,0.299600609,9.00E-05,1,0.00427198,20.6,13.3
MRPS6,ITG,Up,0.298912942,5.04E-05,1,0.002665296,22,13.7
ZBTB38,ITG,Up,0.298893755,0.000400884,1,0.013743397,64,56.1
PPP1R14A,ITG,Up,0.295653245,0.000107563,1,0.00489989,16.9,10.0
CA4,ITG,Up,0.293842374,3.41E-05,1,0.001925832,14.4,8.9
SOX18,ITG,Up,0.286911734,2.73E-14,9.98E-10,1.03E-11,42.2,33.8
S100A10,ITG,Up,0.286398953,1.26E-28,4.60E-24,1.78E-25,43.4,33.7
IGFBP3,ITG,Up,0.286356635,1.46E-38,5.35E-34,5.17E-35,14.5,11.8
RPS24,ITG,Up,0.284009611,0.003828725,1,0.072608907,44.8,36.6
SLC12A2,ITG,Up,0.283995504,0.000891025,1,0.025244902,47.5,38.2
RABAC1,ITG,Up,0.28296947,0.001708286,1,0.0419578,30.2,21.0
BGN,ITG,Up,0.278990934,0.006044266,1,0.099662283,14.6,7.8
ANKRD12,ITG,Up,0.275490759,0.004195641,1,0.077598649,72.4,68.1
CD34,ITG,Up,0.273628819,5.99E-28,2.19E-23,7.73E-25,49.9,40.8
TUBB4B,ITG,Up,0.272840778,1.51E-07,0.005526973,1.59E-05,35.5,24.3
FCHO2,ITG,Up,0.272708816,0.005976189,1,0.098810659,58.4,51.8
JUNB,ITG,Up,0.271980604,4.69E-07,0.017172149,4.37E-05,37.5,27.1
CDKN1A,ITG,Up,0.271582968,0.003148955,1,0.063460559,30.8,21.9
HOPX,ITG,Up,0.271064961,0.000436578,1,0.014776099,22.9,15.6
FOXQ1,ITG,Up,0.269272434,0.003795453,1,0.072171432,18.2,11.0
MT1F,ITG,Up,0.268945404,1.95E-12,7.15E-08,5.12E-10,20.6,14.8
S100A6,ITG,Up,0.265459979,1.24E-15,4.55E-11,5.61E-13,25.6,17.9
CCNL1,ITG,Up,0.263861419,0.000337258,1,0.012069061,51.4,42.0
UBE2D3,ITG,Up,0.26369323,2.27E-05,0.829553809,0.001347253,62.7,54.3
PICALM,ITG,Up,0.26346858,7.30E-06,0.267201391,0.00050532,82.2,79.4
SESTD1,ITG,Up,0.262318765,1.18E-06,0.043241444,9.79E-05,63.5,56.7
MRPL1,ITG,Up,0.26152387,0.004924331,1,0.086804417,42.5,36.5
IL6ST,ITG,Up,0.260660547,1.83E-08,0.000670648,2.43E-06,60.4,51.6
RPL7A,ITG,Up,0.260602897,0.002979376,1,0.061111113,45.3,36.5
NEDD9,ITG,Up,0.258683579,1.09E-10,4.00E-06,1.98E-08,67.5,60.4
CD46,ITG,Up,0.257645183,0.003620181,1,0.069713118,64,57.1
SRP14,ITG,Up,0.256037265,0.001077397,1,0.029274584,40.7,32.4
RAC1,ITG,Up,0.252900133,0.003198981,1,0.064143621,62.9,55.2
YBX3,ITG,Up,0.251888955,9.77E-17,3.58E-12,4.82E-14,63.5,57.6
SMCHD1,ITG,Up,0.251212689,2.38E-14,8.70E-10,9.34E-12,65.9,62.6
SERPINH1,ITG,Up,0.250966814,0.000390399,1,0.013537019,32.4,24.9
SLCO4A1,ITG,Up,0.250279403,1.24E-10,4.52E-06,2.22E-08,73.4,63.1
PLSCR4,ITG,Up,0.250174508,9.43E-06,0.345023296,0.000637077,56.3,50.6
S100A11,ITG,Up,0.247185805,2.56E-13,9.38E-09,8.37E-11,28.2,21.0
UVRAG,ITG,Up,0.246575536,0.000745981,1,0.021961672,59.6,54.5
ZFP36,ITG,Up,0.245309405,0.000366628,1,0.012967019,26.1,20.2
RPL18,ITG,Up,0.243801729,0.002119478,1,0.048414889,49.9,40.2
PGK1,ITG,Up,0.243298115,0.000353928,1,0.012538727,38.8,30.5
RPL15,ITG,Up,0.242373407,0.000701435,1,0.021083797,45.9,36.4
CDKN1B,ITG,Up,0.242107073,0.003543651,1,0.068738411,21.5,14.0
TPST2,ITG,Up,0.241079299,0.000205368,1,0.008207384,46.4,39.3
LMBR1,ITG,Up,0.239518613,0.000949622,1,0.026585667,67.4,61.6
CCNH,ITG,Up,0.239338458,0.002504528,1,0.054567348,54.6,50.3
MFSD2A,ITG,Up,0.238292114,7.90E-13,2.89E-08,2.33E-10,57.2,49.7
LGALS1,ITG,Up,0.236977001,1.00E-05,0.367151204,0.000673645,26.7,19.5
ADIRF,ITG,Up,0.236001845,2.41E-11,8.83E-07,4.97E-09,32.4,25.4
ENG,ITG,Up,0.235885115,0.001314171,1,0.034524226,62.2,55.0
ITGA10,ITG,Up,0.233541048,0.003243042,1,0.064499158,16.8,10.8
PTPRK,ITG,Up,0.233274436,0.000163856,1,0.006818008,61.6,57.0
NUTM2B-AS1,ITG,Up,0.232188165,0.000104702,1,0.004819713,39.1,32.5
DDX3X,ITG,Up,0.22860384,7.20E-06,0.26366148,0.00050121,44.1,37.1
CAV1,ITG,Up,0.226115614,0.001430929,1,0.036723184,25,18.2
SELENOP,ITG,Up,0.223252743,0.00350792,1,0.06810757,24.9,17.6
TUBB,ITG,Up,0.222868726,2.20E-07,0.008056791,2.21E-05,32,24.4
BHLHE40,ITG,Up,0.222610224,0.001027127,1,0.02819749,47.7,39.4
PLEKHG1,ITG,Up,0.22045527,8.37E-10,3.06E-05,1.35E-07,74.9,71.4
UQCR11,ITG,Up,0.220254393,0.000477413,1,0.015731639,20.8,14.1
TACC1,ITG,Up,0.220186288,3.01E-17,1.10E-12,1.60E-14,91.5,86.3
IQGAP1,ITG,Up,0.21904655,0.000856629,1,0.024499358,65.9,60.0
TLE4,ITG,Up,0.2172041,0.000488588,1,0.016025237,37.9,32.0
CLEC2B,ITG,Up,0.215736783,0.002072472,1,0.047392154,31.9,26.0
PTPRB,ITG,Up,0.215523423,4.75E-05,1,0.002551968,78.1,74.2
TBX3,ITG,Up,0.215408508,1.91E-12,6.99E-08,5.07E-10,32.6,24.9
CSRNP1,ITG,Up,0.215242693,0.00384998,1,0.072816781,18.3,13.6
TMEM132C,ITG,Up,0.213653819,0.000386606,1,0.013471549,52.4,45.6
VSIR,ITG,Up,0.213531983,0.005356192,1,0.092259879,43,35.8
WASHC2A,ITG,Up,0.211600401,1.91E-09,7.00E-05,2.96E-07,16.2,9.8
SPINT2,ITG,Up,0.209873415,1.66E-05,0.607157962,0.00103537,17.6,10.6
NDUFA1,ITG,Up,0.209420969,0.001757525,1,0.042771153,16.2,10.6
ANKRA2,ITG,Up,0.206940355,0.000109767,1,0.004977257,18.9,13.1
KAT2B,ITG,Up,0.206867816,0.001892338,1,0.044889455,27.9,22.3
AKT3,ITG,Up,0.20603353,5.53E-12,2.03E-07,1.30E-09,76.3,74.4
CAPZA2,ITG,Up,0.205513272,0.003089265,1,0.062854548,44.3,37.6
HNRNPF,ITG,Up,0.205401028,0.002586421,1,0.055689246,29.5,22.3
COX7B,ITG,Up,0.203673746,0.005974404,1,0.098810659,13.8,9.3
USP34,ITG,Up,0.202681091,7.32E-05,1,0.003654237,71.8,68.1
SAMD12,ITG,Up,0.202633985,5.07E-11,1.86E-06,9.88E-09,60.3,53.9
PHF10,ITG,Up,0.201938944,1.75E-06,0.063936444,0.000138839,34.1,29.2
TLE1,ITG,Up,0.20045292,3.85E-18,1.41E-13,2.47E-15,35.2,29.1
IL18R1,ITG,Up,0.199994147,8.54E-11,3.13E-06,1.58E-08,35.3,28.8
FOSL2,ITG,Up,0.199019306,3.56E-05,1,0.002004313,53.3,46.0
SPTAN1,ITG,Up,0.197425047,7.12E-07,0.026076991,6.30E-05,49.1,42.1
CD59,ITG,Up,0.196641984,0.000234087,1,0.009131558,71,63.2
TMEM50B,ITG,Up,0.196628359,0.00044722,1,0.014991654,45.2,38.3
GADD45GIP1,ITG,Up,0.195688097,7.40E-05,1,0.003681654,16.1,10.2
EPHA4,ITG,Up,0.193128476,0.000144638,1,0.006200722,54.4,47.5
COX6B1,ITG,Up,0.190329721,0.002139229,1,0.048813517,20.2,14.0
HSP90B1,ITG,Up,0.188905086,0.000690084,1,0.020823585,37.7,30.3
UBL3,ITG,Up,0.188576354,0.000975271,1,0.027160398,32.2,26.5
CAVIN1,ITG,Up,0.186767161,0.000260587,1,0.009945899,38,28.5
TMED10,ITG,Up,0.185401791,0.000522042,1,0.016913369,36.5,30.1
PRDM1,ITG,Up,0.184536251,0.00028658,1,0.010618376,14.1,10.0
IRAK3,ITG,Up,0.184204139,1.83E-12,6.70E-08,4.98E-10,68.3,64.3
KCTD12,ITG,Up,0.181388162,0.004549767,1,0.082170728,47,39.5
KIAA1549,ITG,Up,0.179024535,4.45E-05,1,0.002427066,38.6,32.3
CD151,ITG,Up,0.178964551,0.004827848,1,0.085630428,25.1,18.1
DOCK9,ITG,Up,0.178665919,5.17E-06,0.189404181,0.000378673,88.8,84.4
QKI,ITG,Up,0.177934802,3.44E-07,0.012597633,3.32E-05,82.6,79.3
CLTC,ITG,Up,0.177382435,0.001777826,1,0.042920637,46.6,39.7
GRASP,ITG,Up,0.175202142,7.75E-08,0.002837224,8.81E-06,38.9,31.1
BTG2,ITG,Up,0.174549097,7.85E-11,2.87E-06,1.47E-08,28.3,23.1
RALGAPA1,ITG,Up,0.174512137,8.53E-05,1,0.004070107,70.4,66.6
SELENOW,ITG,Up,0.173373429,8.31E-08,0.003042375,9.33E-06,52.4,45.3
BCL2L1,ITG,Up,0.172147985,2.59E-09,9.49E-05,3.93E-07,42,35.2
GPR146,ITG,Up,0.170158991,7.75E-07,0.028358878,6.82E-05,24.7,19.6
KRAS,ITG,Up,0.167546046,1.03E-05,0.377751887,0.000690908,25.4,20.4
GAPDH,ITG,Up,0.167476514,4.93E-07,0.018051392,4.57E-05,70.8,62.0
CALD1,ITG,Up,0.167427761,4.25E-07,0.015555927,4.01E-05,40.7,35.5
CNOT6L,ITG,Up,0.165727009,1.34E-06,0.04895067,0.00010874,68.9,64.8
CLEC1A,ITG,Up,0.16523809,1.46E-07,0.005333281,1.54E-05,22.2,18.8
CMTM8,ITG,Up,0.164725869,0.001624221,1,0.040218903,57.9,52.5
FN1,ITG,Up,0.163962077,4.70E-09,0.00017214,6.84E-07,54.9,51.0
PLS3,ITG,Up,0.163926104,0.001594339,1,0.039664083,24.5,21.1
GSN,ITG,Up,0.16374525,0.001181228,1,0.031730182,37.1,29.8
LDLR,ITG,Up,0.161466089,0.001443904,1,0.036882482,25,21.1
